user_id;registered_date;location;device;total_transaction_value_vnd;total_order;active_days;main_category;secondary_category
73b77365-b455-42bc-a112-ee22a9fdeba7;08/09/2020;hcm;oppo;0;0;96;khac;khac
25ecfda0-9569-474b-8e0f-fe9514086a47;01/10/2020;hcm;iphone;0;0;7;thoi_trang;khac
b6aace73-748c-45ae-b608-19d37cddf671;11/07/2020;hcm;oppo;0;0;133;thoi_trang;khac
9eca8354-464f-4c0f-bf4c-2ff3cc1e19ec;28/11/2010;hcm;samsung;0;0;182;khac;khac
6002b2c8-0381-4f70-98b8-dc5e40cecea3;10/01/2021;hcm;samsung;0;0;246;tap_hoa;tap_hoa
93aefce8-7373-43b7-933b-cd6ee3feb586;20/01/2021;hcm;iphone;0;0;240;thuc_pham;thoi_trang
576f5359-2867-4e68-a52f-cfb614eb4a59;23/07/2020;hcm;xiaomi;0;0;72;tap_hoa;khac
62b7a94e-df6d-4c12-ad4c-73b251e7181c;17/07/2020;hcm;samsung;0;0;120;f&b;f&b
fcdeba22-794c-483e-8b0b-51a59c8006c4;19/07/2020;hcm;realme;0;0;143;thuc_pham;thuc_pham
2adcfa0b-7d3f-4b3e-bf16-c130291690df;13/09/2020;hcm;samsung;0;0;183;f&b;thuc_pham
4711225c-1c0a-4ca6-87ba-96c8faa24662;29/11/2020;hcm;realme;0;0;235;my_pham;f&b
46e690e6-b6e5-4c17-aa41-7dc62fe6c4e0;18/09/2020;hcm;iphone;0;0;280;khac;khac
e835bc12-fac6-4062-b227-41efbf986ff6;05/07/2020;hcm;realme;362000;1;263;f&b;f&b
8dc47054-5bdb-4271-9004-7f596092eed8;09/06/2020;hcm;samsung;443000;1;104;thuc_pham;my_pham
4e657761-2bc2-4d2c-9ec1-8f2abdaf86bc;24/09/2020;hcm;iphone;322000;1;241;thuc_pham;thoi_trang
36f3edf1-19be-4f30-a9d0-6bab93be50cc;22/12/2020;hcm;samsung;200000;1;18;thuc_pham;thoi_trang
8705fed3-8b9f-4c54-a2c4-e54d458df09c;17/12/2020;hcm;xiaomi;328000;1;32;thoi_trang;thoi_trang
2242ad08-3f0d-4d3d-be0f-6f78e7dcdbb6;09/07/2020;hcm;xiaomi;139000;1;238;khac;thoi_trang
cd4b64d6-c9a3-41b4-a0f9-df7632e66eeb;14/07/2020;hcm;iphone;398000;1;150;f&b;tap_hoa
f9bb703d-8be0-48f7-a65a-da5849577e71;13/09/2020;hcm;oppo;419000;1;233;my_pham;khac
9252eb69-5f02-4414-8cc0-01ec7d7b6d9a;24/06/2020;hcm;samsung;450000;1;165;f&b;khac
4bfe4b50-9ac6-4b57-80ed-e215bba236d5;03/07/2020;hcm;oppo;316000;1;218;my_pham;tap_hoa
0399aba1-0343-48a2-a18c-7f1ccb96fd66;24/08/2020;hcm;realme;360000;1;255;f&b;khac
fe1e7881-57fe-4411-a49c-86b7609935cd;26/07/2020;hcm;realme;427000;1;108;khac;my_pham
63c901cb-5751-43c0-814c-a2516a616473;26/07/2020;hcm;xiaomi;382000;2;265;thoi_trang;my_pham
a9a2ce02-2725-48dc-8baa-cc9e704ba00d;20/06/2020;hcm;iphone;924000;2;88;f&b;thuc_pham
4fc12557-6722-47c3-9c14-6b6ad8617c55;17/07/2020;hcm;iphone;282000;2;49;khac;khac
eaf0a4d1-e0d4-4578-89ce-7a2dd6a61427;22/01/2021;hcm;xiaomi;602000;2;98;thuc_pham;f&b
89459faf-2a2a-4e73-944d-34b1fc305321;14/07/2020;hcm;iphone;435000;2;267;tap_hoa;thuc_pham
6fda8462-4e10-4ce7-b1a0-5391b9059b25;03/06/2020;hcm;iphone;315000;2;213;khac;khac
97640b24-a1e0-46bb-b7bf-bf4ee75ef9d2;05/11/2020;hcm;realme;509000;2;18;thoi_trang;tap_hoa
9df04238-2321-4037-a78b-fa9196941872;09/12/2020;hcm;realme;596000;2;237;thoi_trang;khac
b250bbe9-e503-4844-b3f2-c2854cd96504;01/09/2020;hcm;xiaomi;956000;2;208;tap_hoa;tap_hoa
2dfe18d6-2c47-4d8c-95c5-bd9737248c43;15/08/2020;hcm;iphone;542000;2;16;thoi_trang;f&b
92103e1a-7603-4c53-a9af-d249e10941fe;10/07/2020;hcm;iphone;760000;2;37;thoi_trang;tap_hoa
ba6db0aa-19a8-4ae8-81e9-5fe0266f72a6;07/11/2020;hcm;oppo;389000;2;107;thoi_trang;thoi_trang
bfd0a7d9-17e6-4d41-8ab2-e1075a2fada4;22/09/2020;hcm;xiaomi;410000;2;72;khac;thuc_pham
1089addc-68e2-4412-a7cd-0be40f241c04;17/07/2020;hcm;samsung;1014000;3;26;tap_hoa;thuc_pham
800ebe0a-d733-49e3-a9bf-9ab8055c0ba3;04/06/2020;hcm;xiaomi;472000;3;193;f&b;f&b
f58f52b8-342a-40e0-9337-3ee0a0bfc439;15/09/2020;hcm;samsung;467000;3;147;thoi_trang;tap_hoa
d2e734ab-9d7f-4fa6-b2fa-fafccceb0e96;27/10/2020;hcm;oppo;659000;3;13;thoi_trang;my_pham
9d424acd-8032-41e6-919e-8d1eebeb3228;13/06/2020;hcm;samsung;308000;3;212;thoi_trang;tap_hoa
0ba26e9e-6174-4a98-88c2-61c7e0938d52;13/07/2020;hcm;xiaomi;535000;3;210;f&b;tap_hoa
37f0a63c-cea8-4f34-8d43-43311cc5dfb0;29/08/2020;hcm;xiaomi;1397000;3;97;khac;f&b
330e1c30-c5bb-42be-855f-5bcbda76887e;06/01/2021;hcm;samsung;568000;4;32;my_pham;f&b
201170dd-9861-454a-ada9-f0114a616af7;06/01/2021;hcm;iphone;932000;4;208;my_pham;thoi_trang
f895230e-8201-4c82-9f2a-3b24645203e6;06/11/2020;hcm;samsung;856000;4;47;thuc_pham;khac
52c2cbf9-ae2d-40c5-a6f2-f5f35ee3674d;03/08/2020;hcm;samsung;507000;4;199;tap_hoa;tap_hoa
4bbe9c7c-c372-4503-ab61-3007f96b767b;25/12/2020;hcm;oppo;754000;4;180;my_pham;tap_hoa
0ca7b129-0db8-456a-8fb2-d4053a193e20;11/08/2020;hcm;xiaomi;1585000;4;262;my_pham;thoi_trang
c0b2483d-6340-4c21-9a83-fba97edf7068;02/12/2020;hcm;oppo;1371000;4;251;my_pham;khac
348bd68e-b2b0-48d2-9f11-399081c1c7a6;09/12/2020;hcm;samsung;983000;4;191;f&b;my_pham
e22d5bb8-68d6-442d-a0f3-6ebd112c8a3f;29/12/2020;hcm;oppo;1415000;4;130;thoi_trang;my_pham
07eb33ad-836c-4646-a897-56f4d4e6d575;17/07/2020;hcm;oppo;629000;4;35;thuc_pham;thuc_pham
9c18e3b1-2614-417e-bc3e-36fdca9d8d48;24/01/2021;hcm;iphone;1748000;4;263;f&b;tap_hoa
dc2464a6-3941-4bb3-af31-ffabe033c8b2;12/01/2021;hcm;realme;2139000;5;46;thoi_trang;my_pham
882309ae-8a28-419c-a129-63f3525bd11a;03/08/2020;hcm;realme;1926000;5;18;tap_hoa;f&b
ee896a16-48f0-4313-a58b-f332d60dd23a;03/08/2020;hcm;oppo;1121000;5;82;thuc_pham;tap_hoa
460435c5-52ba-41db-9239-3455329c2ebf;05/11/2020;hcm;iphone;2030000;5;298;tap_hoa;khac
113e3f4e-c39f-43cc-ad77-560de443de43;12/10/2020;hcm;iphone;835000;5;29;khac;thoi_trang
f658fbb7-9b53-4f30-af6b-6a03f757c178;30/11/2020;hcm;xiaomi;794000;5;259;thoi_trang;thoi_trang
e9f80332-90f1-4e00-938e-f101fb75167b;23/07/2020;hcm;samsung;799000;5;193;thoi_trang;thoi_trang
